354269	West Japan Railway Company
523916	Citibank Platinum Credit Card (Argentina)
523935	Citibank (Malaysia)
523951	ICICI Bank MasterCard Credit Card (India)
524040	OCBC Bank BEST-OCBC MasterCard Credit Card (Singapore)
524100	Citibank Korea
5243[0-9][0-9]	Hudson's Bay Company MasterCard Credit Card (Canada)
524805	Orico MasterCard Credit Card (Japan)
525241	Saison Card International, Japan
525303	Halifax/Bank of Scotland (UK)
525405	V?B Banka (Banca Intesa group) MasterCard original+ Credit card (Slovakia)
5255[0-9][0-9]	Mastercard CartaSi (Italy)
5256[0-9][0-9]	Sparda-Bank MasterCard Charge Card (Germany)
525678	Banamex Debit card
5258[0-9][0-9]	Mastercard National Bank of Canada (Canada)
525896	Mastercard Husky (Canada) [Husky/Mohawk MasterCard]
5259[0-9][0-9]	Canadian Tire Bank Cash Advantage Platinum MasterCard
525995	Canadian Tire Bank Gas Advantage MasterCard
5262[0-9][0-9]	Citibank MasterCard Debit Card
526219	Citibank MasterCard American Airlines AAdvantage Debit Card
526224	Citibank MasterCard Debit Card
526226	Citibank MasterCard Card
5264[0-9][0-9]	Bank Negara Indonesia MasterCard Debit Card
526418	Vietcombank
526468	SBI Cards credit card (India)
526471	POSBank MasterCard Debit/ATM Card (Singapore)
526495	Bank of India MasterCard Debit/ATM Card
526702	Yes Bank Mastercard Silver Debit Card (India)
526722	Standard Bank South Africa MasterCard Credit Card (Gift Card)
526737	Security Bank Cash Card (Philippines)
526781	V?B Banka (Banca Intesa group)
526790	Asia Commercial Bank Vietnam
5268[0-9][0-9]	Landesbank Berlin (Germany) MasterCard Credit Card
5268[0-9][0-9]	CitiBank Platinum Enrich (Canada) MasterCard Credit Card
527434	Caixanova NovaXove / EVO Banco (Spain) Mastecard Debit Card
527455	Rubycard Pre-Paid Mastercard (Ireland) issued by Newcastle Building Society
527456	WireCard Bank (Germany)
5275[0-9][0-9]	Danske Bank (Finland) MasterCard Debit Card
527890	Go National (National Bank of Greece)
528013	Bankwest Australia MasterCard Debit Card
528038	ING Bank N.V. Amsterdam
528061	BMO Bank of Montreal MasterCard Prepaid Travel
528093	Banesto (Spain) Mastercard Prepaid Sevilla Futbol Club
528229	Nexpay prepaid card
5286[0-9][0-9]	Santander Cards
5286[0-9][0-9]	ABSA (Amalgamated Banks of South Africa) MasterCard Credit Card
5286[0-9][0-9]	Virgin Money South Africa (Virtual Bank; Operates partially on ABSA's system)
528683	The Governor And Company Of The Bank Of Scotland EUR GBR DUNFERMLINE
528689	Santander UK Zero MasterCard Credit Card UK
5287[0-9][0-9]	Washington Mutual Bank Debit card
5289[0-9][0-9]	ANZ (Previously RBS and ABN AMRO) Switch Platinum MasterCard Credit Card (Singapore)
528919	CIMB Niaga Platinum MasterCard Credit Card (Indonesia)
528945	HDFC Bank MasterCard credit card (India)
529020	Woolworths Everyday Money MasterCard credit card
529480	Santander [CONTIGO] Credit Card (Spain)
529512	Prepaid Debit MasterCard issued by Australia and New Zealand Banking Group
529523	Woolworths Everyday Money Prepaid MasterCard (issued by ANZ Banking Group)
529565	Spark Prepaid MasterCard issued by Prepaid Financial Services Limited (UK)
529580	(Italy) Kalixa Prepaid MasterCard (Vincento Payment Solutions)
529930	Marks & Spencer Money MasterCard Credit Card
529932	Asda branded MasterCard Credit Card (UK)
529962	Prepaid MasterCards issued by DCBANK. (MuchMusic)
529964	CardOneBanking Mastercard Debit
529965	pre paid debit cards
529966	pre paid debit cards
5300	Bay Bank.
5301[0-9][0-9]	BarclayCard Mastercards.
530111	Citibank
530127	BARCLAYS BANK PLC. EUR GBR NORTHAMPTON
5303[0-9][0-9]	BAC San Jos? (Costa Rica) Debit card
530343	Net1 Virtual Card Prepaid
530442	Choice Bank Limited (Payoneer)
530695	Bancolombia Prepaid MasterCard Credit Card (E-prepago)
530785	Sears MasterCard
530786	Sears Voyage MasterCard
530831	Orange Cash Prepaid MasterCard, issued by Orange and Barclays with PayPass
5310[0-9][0-9]	Lufthansa Miles & More MasterCard Credit Card Frequent Traveler
531045	MBNA Virgin Money
531106	PayPal (USA) Prepaid MasterCard
531108	MetaBank (USA) Prepaid Debit Mastercard
531207	Uralsib Bank (Russia), MasterCard World
531289	AEON View Suica MasterCard Credit Card (Japan)
531306	Newcastle Building SocietyPrepaid Mastercard. Various trade names e.g. Moneybookers.com, Monarch Airlines
531307	Newcastle Building Society Prepaid Mastercard. Various trade names e.g. FairFX
531355	National Bank MasterCard Credit Card
531445	Payoneer MasterCard Debit Card
531496	Air New Zealand OneSmart Prepaid Debit Card (issued by the Bank of New Zealand
5316[0-9][0-9]	CUETS Financial Canada MasterCard Credit Card
5317[0-9][0-9]	CUETS Financial Canada Global Payment MasterCard
5322[0-9][0-9]	Washington Mutual Business Debit card
532450	China Construction Bank Credit Card
532561	HSBC Bank USA Premier Debit Mastercard with PayPass
5326[0-9][0-9]	Isracard MasterCard Credit Card (IL)
5327[0-9][0-9]	Dexia banka Slovensko, a.s.; MasterCard credit PayPass
532700	RBS Premium MasterCard Debit Card
532737	BankWest Platinum Debit MasterCard
5329[0-9][0-9]	MBNA Preferred MasterCard Credit Card
532902	Wachovia Bank MasterCard Credit Card
533157	RNKO, Euroset Kukuruza Bonus (Russia) Mastercard Unembossed, Instant Issue
533200	Metro Bank PLC UK retail Mastercard credit card
533206	Avangard Bank MasterCard Credit Card
533248	Comerica Bank Mastercard prepaid
533389	New Zealand Credit Unions Debit Card
533505	Citibank Japan (Titanium) credit card
533506	Citibank Japan (World) credit card
533619	CIMB Niaga Syariah Gold MasterCard Credit Card
533838	[CBA] Prepaid Gift card as MasterCard
533846	Kalixa Prepaid Mastercard UK Kalixa Prepaid MasterCard (Vincento Payment Solutions)
533875	Paypal Italy MasterCard Prepaid
533896	Paypal Access Card (UK)
533908	Bank Zachodni WBK Mastercard Premium Prepaid PayPass (Electronic) (Poland)
533936	Kalixa Prepaid Mastercard DE Kalixa Prepaid MasterCard (Vincento Payment Solutions)
534248	Best Buy
535316	Commonwealth Bank Standard MasterCard Credit Card
535317	Commonwealth Bank Credit Card
535318	Commonwealth Bank Gold MasterCard Credit Card
536386	Barclaycard World Mastercard (UK)
536409	Russian Agricultural Bank (Rosselhozbank) MasterCard Country Debit Card
537004	RNKO, Russia, Svyaznoy MasterCard Unembossed Card Instant Issue
537196	Commonwealth Bank Debit Card
537881	CUETS Financial
538720	BC Mastercard issued by Woori Bank
538803	BC Mastercard issued by Industrial Bank of Korea
538806	BC Mastercard issued by Kookmin Bank
538811	BC Mastercard issued by Nonghyup Central Bank
538812	BC Mastercard issued by Nonghyup Local Banks
538820	BC Mastercard
538823	BC Mastercard issued by SC First Bank
538825	BC Mastercard issued by Hana Bank
538827	BC Mastercard issued by Citibank in Korea
538878	BC Mastercard issued by Shinhan Bank
539028	Citibank Mastercard (Brazil)
5396[0-9][0-9]	Saks Fifth Avenue World Elite MasterCard issued by HSBC
539655	AT&T Universal MasterCard Credit Card, now part of Citibank
539673	Avangard Bank, MasterCard World Signia Card
539738	FNB Bank, MasterCard Debit Prepaid (USA)
5399[0-9][0-9]	ICICI Bank MasterCard debit Card
539941	Zenith Bank (Nigeria) MasterCard Debit Card
539923	First Bank of Nigeria MasterCard Debit Card
540002	DBS (Esso co-branded) Singapore
540012	OCBC Singapore Titanium
540034	Standard Chartered Bank Titanium Credit Card (HK)
540041	HSBC Bank Gold Malaysia
5401[0-9][0-9]	Bank of America (formerly MBNA) MasterCard Gold Credit Card
540141	BANESCO Classic Mastercard card (Venezuela).
540168	Chase MasterCard Credit Card
540187	Advanzia Bank (LU)
540204	Citibank Hong Kong MasterCard Credit Card
540205	Citibank Taiwan MasterCard Credit Card
540207	BNZ (Bank of New Zealand) Global Plus MasterCard Credit Card
540221	ANZ Bank New Zealand ANZ MasterCard Credit Card
540223	Westpac New Zealand MasterCard Credit Card
540256	Citibank Malaysia MasterCard Credit Card
5403[0-9][0-9]	Citibank MasterCard Credit Card ("Virtual Card" number)
5404[0-9][0-9]	Lloyds TSB Bank MasterCard Credit Card
540410	Brown Thomas MasterCard (Issued by AIB)
540450	Advanced Payment Solutions (APS)
540451	Advanced Payment Solutions (APS)
540482	Bankwest Zero Gold Mastercard Credit Card (AU)
5406[0-9][0-9]	Bancolombia MasterCard Credit Card (CO)
5407[0-9][0-9]	HSBC Bank GM Card
540758	MBNA Bank UK bmi Blue Mastercard
5409[0-9][0-9]	HSBC Bank, Union Bank of California Pay Pass debit card
540801	Household Bank USA MasterCard Credit Card
540805	Citibank Taiwan
540806	Hang Seng Bank Credit Card
540838	BOC Great Wall Credit Card (CN)
540877	Bank of China Platinum MasterCard Credit Card (SG)
541010	Raiffeisen Zentralbank
541065	Citibank MC
541142	CIBC MasterCard (Canadian Imperial Bank of Commerce) formerly Citi MasterCard Canada
5412[0-9][0-9]	HSBC Malaysia issued Mastercard
541206	USAA
541256	SEB Kort AB, Choice Club credit card (SE)
541256	SEB Kort AB, SJ Prio credit card (SE)
541277	Nordea Finance/Valutakortet Valuta MasterCard credit card (SE)
541330	Mastercard test BIN for NIV, TIP certifiction (not production cards)
541383	OCBC Singapore Worldcard
541590	Royal Bank Mastercard
541592	Neteller (UK) Mastercard debit card
541597	Slovensk? sporite?na Mastercard debit card
5416[0-9][0-9]	Washington Mutual (formerly Providian) Platinum MasterCard Credit Card
541606	WestJet/RBC Royal Bank of Canada MasterCard (CA)
541647	Asda branded MasterCard Credit Card (UK), discontinued 2012
541657	(eBay MasterCard) via Providian
5417[0-9][0-9]	Chase Bank
538670	R. RAPHAEL & SONS PLC | DEBIT | Prepaid | Italy
5420[0-9][0-9]	MasterCard issued by USAA, Mastercard issued by John Lewis (Partnership Card)
5424[0-9][0-9]	Citibank MasterCard Credit Card (Dividend, Diamond and others)
542418	Citibank Platinum Select
542432	Fifth Third Bank MasterCard Debit Card
5425[0-9][0-9]	Barclaycard MasterCard Credit Card (DE)
542505	RBS Gold Mastercard Credit Card (formerly ABN Amro Bank) (IN)
542523	Allied Irish Banks MasterCard Credit Card (IE)
542542	GE Money Bank Mastercard debit card (SE)
542542	GE Money Bank Mastercard credit card (SE)
542598	Bank of Ireland Post Office Platinum Card (UK)
5426[0-9][0-9]	Alberta Treasury Branch
5430[0-9][0-9]	ANZ Bank MasterCard
5430[0-9][0-9]	Stockmann Department Store Mastercard, issued by Nordea (FI)
543034	Stockmann Department Store Exclusive Mastercard, issued by Nordea (FI)
543077	Handelsbanken Business Mastercard (SE)
543122	HSBC issued Mastercard (HK)
543250	Bank of New Zealand MasterCard Credit Card
543256	National Bank of Bahrain, Mastercard Giftcard
543267	Bank of Ireland MasterCard Credit Card
543328	HSBC Credit USA
5434[0-9][0-9]	MasterCard credit cards from UK and Irish banks
543429	Halifax 'One' Mastercard
543458	HSBC UK Premier Credit Card
543460	HSBC Mastercard Credit Card (UK)
543478	National Irish Bank Mastercard
543479	National Irish Bank Gold Mastercard
543482	RBS Mastercard Credit Card
543556	NatWest Mastercard Charge Card
543568	Bankwest Lite Mastercard Credit Card
543678	Westpac New Zealand Mastercard Gold Credit Card
543696	Itau Mastercard Credit Card
543699	NatWest MasterCard Gold Credit Card
543778	MasterCard Credit Card
543793	St George Bank Credit Card (AU)
5438[0-9][0-9]	USAA Federal Savings Bank
533997	ATB Financial
5440[0-9][0-9]	Mastercard from MBF Malaysia
544014	Citibank Gold Credit Card (Argentina)
544047	Shazam (USA)
544156	Allied Irish Banks Gold MasterCard Credit Card
5442[0-9][0-9]	HSBC Mastercard Credit Card (SG)
544258	BRE Bank (MultiBank) Mastercard Aquarius PayPass Credit Card (Black) (PL)
544291	Kiwibank Go Fly MasterCard Standard (NZ)
5443[0-9][0-9]	HSBC MasterCard Debit Card with PayPass (US)
5444[0-9][0-9]	Bangkok Bank (TH)
5444[0-9][0-9]	BHW MasterCard Charge Card (DE)
544434	Wizard Clear Advantage MasterCard (AU)
544440	Valovis Bank, Prepaid MasterCard Debit(DE)
544448	Boeing Employee Credit Union Debit
5446[0-9][0-9]	Canadian Tire MasterCard Credit Card
544602	People's United Bank MasterMoney Debit Card
544637	Coles Myer Mastercard Credit Card (AU)
544748	Chase SLATE MasterCard Credit Card
544758	HSBC Philippines Mastercard Credit Card (PH)
544842	MasterCard, USA
544856	GE Retail Bank Prepaid (USA)
544917	Citizens Bank (Personal Checking) Debit
544927	Keybank, Electron Mastercard Debit
545045	Danske Bank Intercard MasterCard debit card (SE)
5451[0-9][0-9]	NatWest Mastercard Credit Card
545114	SEB KORT Danmark Credit Card
545139	Nordea Bank Danmark Credit Card
545157	Masterbank (Russia), MasterCard World Signia
5452[0-9][0-9]	MBNA Canada Mastercard
545229	Bank of East Asia Hong Kong
545250	Maestro (debit card) BZWBK Poland
54546[0-9][0-9]	Natwest Student Mastercard (UK)
5455[0-9][0-9]	BancorpSouth Mastercard MasterMoney Debit Card
545511	Masterbank (Russia) MasterCard Gold Debit Card
545578	Halifax MasterCard (UK)
5457[0-9][0-9]	Capital One Canada Branch
5457[0-9][0-9]	Dexia banka Slovensko, a.s.; Mastercard Gold with PayPass technology
545709	Commercial bank Privatbank
5458[0-9][0-9]	USAA Credit Card
5459[0-9][0-9]	Harris Bank Debit Card
545955	Mascoma Savings Bank Mastercard Consumer Debit Card
5460[0-9][0-9]	Berliner Bank (Germany),Mint MasterCard Credit Card and Capital One UK
546097	Luma MasterCard Credit Card by Capital One (UK)
546259	The Governor And Company Of The Bank Of Ireland EUR IRL DUBLIN 2
546286	Dexia banka Slovensko,a.s.; MasterCard Red with PayPass technology
546405	MidCountry Bank Debit Card (US)
546540	Suntrust Bank Mastercard Credit/Debit
546528	USAA Federal Savings Bank Master Card Credit/Debit Card
5466[0-9][0-9]	Citibank, MBNA & Chase World MasterCard Credit Cards,
546638	Barclaycard US Airways Premier Word Credit Card
546604	First USA Banke, N.A. Master Card
546616	Wells Fargo Bank
546632	Fidelity 529 College Rewards (FIA Card Services)
546641	HSBC GM MasterCard Credit Card
546680	HSBC GM MasterCard Credit Card
546827	ANZ Mastercard
5469[0-9][0-9]	Sberbank of Russia
547046	Santander Uni-k Credit Card (MX)
5471[0-9][0-9]	Davivienda MasterCard Credit Card (CO)
547343	ANZ Business MasterCard (NZ)
547347	HSBC Commercial Card (UK in ?)
547356	RBS Royal Bank of Scotland
547367	NatWest (RBS)
547372	Swedbank, Estonia, MasterCard Business Card
5474[0-9][0-9]	Wells Fargo Bank BusinessLine credit card (US)
548009	Fifth Third Bank
548045	BANCO BRADESCO S.A. (BR)
548280	Prepaid Card(card level), Master card(card brand), Debit(card type), peoples trust company (CA)
5483[0-9][0-9]	HypoVereinsbank (DE)
548616	DZ Bank / BBBank (DE)
548652	Banco de Chile Master Card Credit Card
548653	Banco de Chile Master Card Credit Card RUA
548673	Alfa-Bank/Aeroflot-bonus, M-Video bonus debit Card (RU)
548674	Alfa-Bank Credit Card (RU)
548696	DZ-Bank / Volksbank and Raiffeisenbank (DE)
548805	Hatton National Bank, Sri Lanka RUA
548901	Banco Santander MasterCard debit card (ES)
548912	Banco Santander MasterCard debit card (ES)
548913	Open Bank S.A.(Santander Group) MasterCard debit (ES)
548955	HOUSEHOLD BANK (NEVADA), N.A, (Orchard Bank M/C, HSBC Card Services) RUA
54896	Industrial and Commercial Bank of China (ICBC) Peony American Express Gold Card China
5490[0-9][0-9]	MBNA & Chase Platinum MasterCard Credit Cards
549035	MBNA American Bank [Now part of Bank of America]
549099	MBNA American Bank [Now part of Bank of America]
5491[0-9][0-9]	AT&T Universal MasterCard Credit Card, now part of Citibank, also MBNA MasterCard Credit Cards
549104	Chase Manhattan Bank USA, N.A.
549110	HSBC Bank Nevada, N.A. issued Household Bank Platinum Mastercard
549113	Citibank MC
549123	USAA Federal Savings Bank Platinum
54919100	MBNA Canada Mastercard
549198	MBNA Canada Mastercard (CA)
549409	HSBC Bank Nevada, NA Premier World Mastercard (credit card)
549471	Qantas Woolworths Everyday Mastercard (issued by HSBC)
549945	Union Plus serviced by Capital One
550018	MasterCard Credit Card issued in Switzerland by Viseca Card Service SA
550619	Skycard MasterCard Credit Card issued in UK in association with Barclaycard
550800	Finserv
550988	County National Bank Debit Card issued in South Central Michigan, USA
551128	ITS Bank/SHAZAM (Interbank Network) Mastercard USA unclear if Debit or Credit
551167	ITS Bank/SHAZAM (Interbank Network) Mastercard USA unclear if Debit or Credit
551445	Cambridge Trust Company in Massachusetts, USA
551915	Orange County's Credit Union Debit Master Card
5520[0-9][0-9]	DBS POSB Everyday Platinum Mastercard (Singapore) / Bank of Scotland Private Banking Platinum MasterCard / RBS World Mastercard
552004	Citibank (HK)
552016	Bank of China International MasterCard Platinum (HK)
552033	Commonwealth Bank Platinum Awards MasterCard Credit Card
552038	POSB (DBS Bank) everyday Platinum MasterCard Credit Card
552060	Citibank Mastercard Credit Card (AU)
552068	Royal Bank of Scotland | RBS
552083	Standard Chartered (HK)
552093	Citibank Mastercard Platinum Credit Card (IN)
5521[0-9][0-9]	BC Platinum Mastercard
552157	Lloyds TSB Platinum Mastercard
552188	Tesco Bank Finest Platinum Mastercard (UK)
5522[0-9][0-9]	NatWest Platinum Mastercard
552213	NatWest Platinum Mastercard
552396	MBNA Smart Cash World MasterCard (CA)(MBNA is a division of The Toronto-Dominion Bank)
552313	USAA World Mastercard
552350	Commonwealth Bank Diamond Awards MasterCard Credit Card
5524[0-9][0-9]	BMO Bank Of Montreal World Elite MasterCard (CA)
552415	Citibank (HK)
552724	Danske Bank MasterCard Direkt debit card (SE)
5528[0-9][0-9]	Diner's Club
5533[0-9][0-9]	Standard Chartered (HK)
553412	Hooroo Pty Ltd/GE Capital Virtual Credit Card
553421	Bank of Scotland Mastercard
553823	MIT Federal Credit Union Debit Mastercard
553877	Star Processing PrePaid Mastercard
553985	First National Bank in Edinburg (US)
554219	CitiBank China Rewards (US Dollars Card)
554346	Kookmin Bank Mastercard "Free Pass" Debit Card
554386	VTB24 Mastercard Credit Card (RU)
554390	Banco Santanader MasterCard Credit Card
554393	VTB24 Mastercard Credit Card (RU)
554544	Bank of Ireland (IE)
554564	Onyxcard39
554567	BC Card
554619	Citibank Mastercard Silver Credit Card (IN)
554641	Euro Kartensysteme Eurocard und Eurocheque gmbh
554704	Maybank Singapore Worldcard
554827	POSBank MasterCard Debit Card (SG)
555003	Westpac Banking Corporation Mastercard (AU)
555005	Commonwealth Bank of Australia Corporate Mastercard (AU)
555045	Citibank International Plc, Mastercard (UK)
556951	NatWest Bank Mastercard (UK)
557071	MinBank MasterCard Debit Card (RU)
557098	Aqua Card Mastercard (UK)
557100	UkrSibBank (UA) Part of BNP Paribas Group
557101	UkrSibBank (UA) Part of BNP Paribas Group
557199	MB Financial Bank (US)
557300	Metro Bank (UK) MasterCard Debit Card
557360	Metro Bank Mastercard
557370	CUSO Ireland Mastercard
557505	Bank Handlowy Mastercard Electronic Pay Pass (Karta Miejska) Debit Card (PL)
557510	BRE Bank (MultiBank) Mastercard Aquarius PayPass Debit Card (PL)
557513	BRE Bank (MultiBank) Mastercard PayPass Debit Card (PL)
557552	Ally Bank Platinum Debit Card
557615	Bremer Bank Debit Card
557753	Bank of the Philippine Islands Express Cash Mastercard Electronic Card (Philippines)
557890	?esk? spo?itelna, a.s. (CZ)
557843	Goldfish MasterCard Credit Card issued in UK by Morgan Stanley
557892	MasterCard Credit Card issued in Nordea Denmark
557905	Santander Mexico Debit Card
557907	Santander Mexico Debit Card
557975	payzone worldwide money Pre-paid Mastercard (UK/IE) (issued by Banque Invik SA, Luxembourg)
558108	Citizens Bank (Business Checking) Debit
558158	PayPal (USA) Debit MasterCard BusinessCard, The Bancorp Bank
558250	Chase Business ink MasterCard
558346	Bank of Montreal Mastercard
558424	PrivatBank MasterCard "Corporate" (UA)
5588[0-9][0-9]	Citibank MasterCard Credit Card "Business"
558818	HDFC Bank MasterCard Credit Card "Business Platinum" India
558846	FIA
559139	Citibank China Premiermiles (US Dollars Card)
559318	Aeon Hong Kong Ferrari World Master Card
560017	Comdata Card
560054	HSBC Bank USA, N.A. Maestro card (given to Online Savings account holders who do not hold a chequing account, this card does not carry a Mastercard logo and is mostly advertised in North America as an HSBC ATM card, although it does carry a Cirrus and Maestro logos on the back side of the card)
560192	Westpac Banking Corporation Handycard (no longer
560251	NAB Australian ATM and eftpos Card (has a Plus logo on reverse).
560254	ANZ Australian Access Card (has both a Maestro and a Cirrus logo on reverse).
560265	St George Bank ATM and eftpos card (including Plus logo)
560267	BankWest Australian ATM and eftpos card
560279	Commonwealth Bank of Australia Key Card
560373	Alliance and Leicester cash deposit card
561059	Australian Bankcard (no longer issued)
561066	HSBC Bank Canada ATM Card
561150	Chase (USA), ATM Card
564100	Santander UK cash card
564104	Nationwide
564120	Nationwide Cashbuilder ATM card.
564182	Switch (debit card) Debit Card
565659	Banco Santander Ferrari MasterCard credit card (ES)
574085	Banco Santander Puerto Rico ATM/debit card
581353	Vancity ATM Card
581357	Salal Credit Union
581828	Credit Union (Ontario) debit cards
584002	CUSCAL Australian Credit Unions ATM and eftpos card (including Plus logo).
584311	Advantis Credit Union
585048	Suntrust Banks
585210	Citibank Greece ATM Card
585637	Ann Taylor (clothing retailer) Love LOFT credit card
585637	Micro Center Credit Card by National City Bank, Columbus
585719	University of Central Florida student ID cards linked to SunTrust
586357	Branch Banking and Trust (BB&T) ATM Card
587781	Bank of America ATM Card
589297	TD Canada Trust Interac/ATM Card
589437	Suntrust Bank
589562	TARJETA NARANJA (AG)
588644	Citibank Korea International ATM Card
589242	National Bank of Greece Greece Debit Card
589261	Maestro (debit card) Pekao
589460	'Choice Card', issued by HSBC, for the Cold Storage chain
589536	Indue ATM Card operating on Maestro/Cirrus (Australia)
598651	Chinatrust ATM Card (Taiwan)
589732	Maestro (debit card) USA
5898[0-9][0-9]	All Korean Banks ATM/DEBIT Card (Maestro Debit Card)
589856	Standard Chartered Bank (Hong Kong) ATM Card
5899[0-9][0-9]	MCB
60001	Paymenex Prepaid Card
60010	Paymenex Gift Card
600180	Coop Medmera Membership card
600229	Wegmans Shoppers Card
60029[2-4]	Hudson's Bay Company
600315	Safeway
600649	Fastcard Gift Cards
600894	FlyBuys
600912	Bartercard International Card
600921	University of Central Florida student ID cards linked to Fairwinds Credit Union
601021	ARI Canada
601056	ValueLink stored value card (Starbucks, Borders Books, et al.)
6011[0-9][0-9]	Discover Card Credit Card
601131	Walmart Discover Card Credit Card
601136	Sam's Discover Card Credit Card
601137	Sam's Business Discover Card Credit Card
601138	HSBC
6012[0-9][0-9]	BANESCO (former BancUnion) Maestro Debit card
601382	Bank of China Unionpay Debit card (GreatWall Debit Card)
601454	Source Inc.
6016[0-9][0-9]	Bancolombia
601725	ING Direct Canada ATM Card
601859	A GAP card that carries GAP, Banana Republic and Old Navy logos, issued by GE Money Bank.
601887	President's Choice Financial Canada Debit Card (ATM/Interac)
6019[0-9][0-9]	Brandsmart USA Credit Card
601919	Ashley Furniture Credit Card GE Capital Bank
601944	Military Star Card
602700	Wichita State University "Shocker Card" (a stored value card)
602969	CN Bank of Beijing Debit Card Visa Interlink/China UnionPay CNY
603207	Shoppers Drug Mart Optimum Program
603217	Dunkin' Donuts Gift Card
603220	Walmart Credit Card
603367	(CN) Bank of Hangzhou Debit Card, China UnionPay
603411	Palm Desert National Bank, USA (IKobo.com Money-transfer debit card)
603450	Starbucks Card (Starbucks Europe Ltd)
603469	Dunkin' Donuts Gift Card
6035[0-9][0-9]	Citibank (Home Depot) Card
603528	STAPLES Canada Enterprise Credit Card (issued by Citi Cards Canada)
603692	Stockmann Card
603753	McDonald's Gift Card (serviced by ValueLink)
603798	KiwiBank Debit Card (Cirrus)
603330	Royal Automobile Club of Western Australia
6038[0-9][0-9]	Starbucks Card (HK)
603948	OBI Petrol Card
6041[0-9][0-9]	Walmart Canada Gift Card
6044[0-9][0-9]	Ikea Credit Card (issued by Citi Cards Canada)
6045[0-9][0-9]	Lowes (Canada) (issued by GE Money Canada)
604646	Scene LP (Cineplex Entertainment)
604767	More Rewards (Overwaitea Food Group loyalty card, BC and AB, Canada)
604809	Svyaznoy Club loyalty card
604883	Indigo Books and Music Gift Card
604976	Tim Hortons QuickPay Tim Card
6051[0-9][0-9]	Starbucks Card (US;CA)
6056[0-9][0-9]	Starbucks Card (CA)
6058[0-9][0-9]	Starbucks Card (UK)
6060[0-9][0-9]	Shinhan Card
606095	Starbucks Card
606126	Buenos Aires SUBE Card
606172	Club Sobeys (CA)
606179	Commonwealth Finance Solutions Ltd
606263	MoneyTech Inc. (BR)
606282	Hipercard (BR)
606469	Revolution MoneyExchange
606484	PRJ Financial Services
606629	Starbucks Card (UK)
606711	Starbucks Card (UK)
6068[0-9][0-9]	Starbucks Card (US;CA)
606934	Starbucks Card (KR)
607120	Starbucks Card (KR)
608343	Starbucks Card (US)
620013	Bank of Communications Hong Kong Branch Expo 2010 Shanghai China CUP Gift Card (HK)
620021	Bank of Communications Expo 2010 Shanghai China Prepaid Card (CN)
6202[0-9][0-9]	Bank of China (Hong Kong) Prepaid Card (HK)
621019	Zheshang Bank Debit Card (CN)
621041	Bank of China (Hong Kong) BOC Card
621042	Nanyang Commercial Bank BOC Card
621060	Woori Bank UnionPay Shanghai Tourism Card (CN)
621213	Nanyang Commercial Bank????????????Debit Card (CN)
621215	Bank Of China Japan Debit Card (JP)
621409	Hang Seng Bank Integrated Account
621441	Hang Seng Bank Integrated & Prestige Account
621443	HSBC Hong Kong
621487	China Construction Bank (Asia) UnionPay Dual Currency Debit Card
621740	Standard Charated Hong Kong Debit Card
621741	Bank of China (Hong Kong) BOC Card
622141	Zhejiang Tailong Commercial Bank(????????) Debit Card (CN)
622200	ICBC China UnionPay Debit Card (CN)
622201	CN ICBC Peony Money Link Card
622202	CN ICBC Peony Money Link Card E-Age
622203	CN ICBC Peony Money Link Card E-Age
622208	CN ICBC Elite Club Account Card
622210	CN ICBC Peony Quasi-Credit Card
622212	Chong Hing Bank China Unionpay Gift Card (HK)
622226	Bank of Communications Pacific Card Debit Card
622230	ICBC Credit Card (CN)
622246	ICBC Credit Card (CN)
622252	BestBuy UnionPay Credit Card by Bank of Communications/HSBC
622260	Bank of Communications Expo 2010 Shanghai China CUP Special Edition Debit Card (CN)
622286	China Construction Bank Unionpay Discover Hkongkong Club (CN)
622286	Bank of Hangzhou Credit Card (CN)
622293	Dah Sing UnionPay Dual Currency Classic Card (HK)
622294	Dah Sing UnionPay Dual Currency Platinum Card (HK)
622309	Zheshang Bank Debit Card (CN)
622372	The Bank of East Asia UnionPay Dual Currency Platinum Credit Card (HK)
622376	Hang Seng Bank RMB UnionPay Credit Card (HK)
622379	Qilu Bank (????) Debit Card (CN)
622381	CCB (Asia) CUP Credit Card (HK)
622382	China Construction Bank (Asia) UnionPay Dual Currency Debit Card
622407	The Hongkong and Shanghai Banking Corporation UnionPay Debit Card
622409	Hang Seng Bank Green Banking Smart Card
622410	Hang Seng Bank Hang Seng Card
622427	Taizhou Bank(????) DaTang Debit card (CN)
622463	Chong Hing Bank UnionPay Debit Card (HK)
622482	Standard Chartered UnionPay Dual Currency Platinum Credit Card (HK)
622492	DBS Octopus ATM Card
6225[0-9][0-9]	Shanghai Pudong Development Bank UnionPay
622538	Shenzhen Development Bank UnionPay
622568	Guangdong Development Bank Debit(China UnionPay) Card (CN)
622575	China Merchants Bank Credit Card (CN)
622588	China Merchants Bank debit Card (CN)
62260	China Merchants Bank debit Card China Union Pay (CN)
622622	China Minsheng Banking Corp debit Card China Union Pay (CN)
62263[0-3]	China Huaxia Bank Debit card, China Unionpay(CN)
622659	CHINA EVERBRIGHT BANK Debit and Credit All in One Card (CN)
622669	CHINA EVERBRIGHT BANK(??????) Debit Card (CN)
622676	China Construction Bank (Asia) UnionPay Dual Currency Platinum Credit Card (HK)
